Artikel	Beskrivning	"Vikt netto"	Plockplats	Plocksaldo	Kundorder	Diff	Buffertsaldo	"Saldo automation"	"Automation diff"	"Saldo kran"	"Kran diff"	"Saldo autoplock"	"Autoplock diff"	Utbeställt	Inlagring	Ankommande	"Pågående plock"	"För och under plock"	Saldo	Diff2	Externt	Lager	Bolag	Batchartikel	Klassificering	Robot
1018572	"BITVENTIL R15 3/8"" 2ST"	"0,23"		0	0	0	0	55	55	0	0	55	55	0	0	0	0	0	55	55	0	404	GG	N	H	Y
1018587	"FÖRSKRUVNING T. AT-VENTIL"	"0,02"		0	0	0	0	190	190	0	0	190	190	0	0	0	0	0	190	190	0	404	GG	N	H	Y
1018639	"TRANSFORMATOR 96W ELVATTENKOPP"	"2,2"		0	0	0	0	8	8	0	0	8	8	0	0	0	0	0	8	8	0	404	GG	N	H	Y
1018640	"TRANSFORMATOR 220W ELVATTENKOPP"	"3,4"		0	0	0	0	6	6	0	0	6	6	0	0	0	0	0	6	6	0	404	GG	N	H	Y
1018641	"TRANSFORMATOR 480W ELVATTENKOPP"	"0,62"		0	0	0	0	5	5	0	0	5	5	0	0	0	0	0	5	5	0	404	GG	N	H	Y
1018643	"TRYCKKNAPPSVENTIL ½” MÄSSING 14L/MIN"	"1,15"		0	0	0	0	28	28	0	0	28	28	0	0	0	0	0	28	28	0	404	GG	N	H	Y
1018696	"FJÄDERVÅG RING/KROK MAX 10 KG"	"0,07"		0	0	0	0	2	2	0	0	2	2	0	0	120	0	0	2	2	0	404	GG	N	H	Y
1018698	"FJÄDERVÅG RING/KROK MAX 25 KG"	"0,33"		0	0	0	0	68	68	0	0	68	68	0	0	30	0	0	68	68	0	404	GG	N	H	Y
1018700	"FODERVÅG TARERBAR MAX 10 KG"	"1,4"		0	4	-4	0	12	8	0	-4	12	8	0	0	20	0	0	12	8	0	404	GG	N	H	Y
1018701	"FODERVÅG TARERBAR MAX 25 KG"	"1,4"		0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	404	GG	N	H	Y
1018703	"FODERVÅG TARERBAR MAX 50 KG"	"1,4"		0	0	0	0	14	14	0	0	14	14	0	0	0	0	0	14	14	0	404	GG	N	H	Y
1018704	"FODERVÅG TARERBAR MAX 250 KG"	"3,9"		0	0	0	0	8	8	0	0	8	8	0	0	0	0	0	8	8	0	404	GG	N	H	Y
1018705	"FODERVÅG TARERBAR MAX 100 KG"	"1,4"		0	0	0	0	10	10	0	0	10	10	0	0	0	0	0	10	10	0	404	GG	N	H	Y
1018782	"MÄRKSTIFT BLÅ 60ML<"	"0,08"		0	0	0	0	36	36	0	0	36	36	0	0	0	0	0	36	36	0	404	GG	N	H	Y
1018784	"MÄRKSTIFT GRÖN 60ML<"	"0,08"		0	0	0	0	50	50	0	0	50	50	0	0	0	0	0	50	50	0	404	GG	N	H	Y
1018789	"MÄRKBAND DJUR BLÅ 10 ST"	"0,04"		0	0	0	0	55	55	0	0	55	55	0	0	0	0	0	55	55	0	404	GG	N	H	Y
1018790	"MÄRKBAND DJUR GRÖN 10 ST"	"0,04"		0	0	0	0	71	71	0	0	71	71	0	0	0	0	0	71	71	0	404	GG	N	H	Y
1018791	"MÄRKBAND DJUR GUL 10 ST"	"0,04"		0	0	0	0	99	99	0	0	99	99	0	0	0	0	0	99	99	0	404	GG	N	H	Y
1018803	"GÖDSELSKRAPA ROSTFRI 350MM LÅG"	"0,3"		0	0	0	0	5	5	0	0	5	5	0	0	0	0	0	5	5	0	404	GG	N	H	Y
1018805	"GÖDSELSKRAPA RAK 355 MM 28 MM"	"0,21"		0	0	0	0	60	60	0	0	60	60	0	0	0	0	0	60	60	0	404	GG	N	H	Y
1018854	"FODERAUTOMAT 301 GRÖN 5L"	"1,1"		0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	404	GG	N	H	N
