Pallid	Status	Ordernr	Yta	Kund	Kund	Antal	Artikel	Beskrivning	Packklass	Ändrad	Användare	Kö	Prioritet	Lagerplats	Zon	Bolag	Lager	Batch	Sändningsnr	Utgångsdatum	"Pågående Plock"	"Plockplats Diff"	SSCC	Avgång	Krangång
716681	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200919918	"TÄCKFÄRG DEMIDEKK INFINITY KLASSISK VIT BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LB46014	Y	MG	JKP		MG-JKP-260317-1756128-0		0	55	273500916307166819		
698121	30	312200	UTL348/UTL349	288	"Räfsnäs såg"	44	200602801	"FALU RÖDFÄRG RÖD 10L"	0	"2026-03-17 06:38:22"	OrderGenerator	3	5	LB42036	Y	MG	JKP		MG-JKP-260317-1715023-0		0	5	273500916306981215		
698116	30					44	200602801	"FALU RÖDFÄRG RÖD 10L"	0	"2026-03-16 16:49:21"	JOHA10	2	5	LB38036	Y	MG	JKP				0	5	273500916306981161		
698934	30	323338	UTL244	484702	"Colorama Askersund"	44	700072195	"RÖDFÄRG FALU VAPEN RÖD PENSELKVALITÉT 10L"		"2026-03-17 06:38:13"	OrderGenerator	3	5	LB37036	Y	MG	JKP		MG-JKP-260317-1765746-0		0	9	273500916306989341		
697055	30	305691	UTL611/UTL612/UTL613/UTL614/UTL615	192291	"Färg och Tapet i Helsingborg AB"	44	200919926	"TÄCKFÄRG DEMIDEKK CLEANTECH KLASSISK VIT-BAS 9L"	0	"2026-03-17 06:37:59"	OrderGenerator	3	5	LB36016	Y	MG	JKP		MG-JKP-260317-1760073-0		0	14	273500916306970554		
694928	30					44	700172120	"VÄGGFÄRG NO PRO XTREME 1 10L"		"2026-03-17 06:37:00"	ANTO87	2	5	LB34024	Y	MG	JKP				0	-1	273500916306949284		
698090	30	312200	UTL348/UTL349	288	"Räfsnäs såg"	44	200602801	"FALU RÖDFÄRG RÖD 10L"	0	"2026-03-17 06:38:22"	OrderGenerator	3	5	LB29026	Y	MG	JKP		MG-JKP-260317-1715023-0		0	5	273500916306980904		
697082	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200919926	"TÄCKFÄRG DEMIDEKK CLEANTECH KLASSISK VIT-BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LB29016	Y	MG	JKP		MG-JKP-260317-1756128-0		0	14	273500916306970820		
698086	30	306972	UTL231	192155	"O Janssons Golvtjänst AB"	44	200602801	"FALU RÖDFÄRG RÖD 10L"	0	"2026-03-16 15:00:43"	OrderGenerator	3	5	LB27034	Y	MG	JKP		MG-JKP-260317-1726275-0		0	5	273500916306980867		
704052	30					44	200090665	"VÄGGSPACKEL/LÄTT HERNIA MEDIUM 10L"		"2026-03-16 16:49:11"	JOHA10	2	5	LB23033	Y	MG	JKP			2026-12-08	0	11	273500916307040522		
716028	30					44	200887986	"FOLIELIM PROSEAL 2K PART B 5KG"		"2026-03-16 12:35:19"	ANTO87	2	5	LB22033	Y	MG	JKP				0	-2	273500916307160282		
712966	30	324078	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200090665	"VÄGGSPACKEL/LÄTT HERNIA MEDIUM 10L"		"2026-03-17 06:38:12"	OrderGenerator	3	5	LB18014	Y	MG	JKP		MG-JKP-260317-1756128-0	2027-02-23	0	11	273500916307129661		
716679	30	305697	UTL205/UTL206/UTL207/UTL208/UTL209/UTL210/UTL211/UTL212	192130	"Hallbergs Färg AB"	44	200919918	"TÄCKFÄRG DEMIDEKK INFINITY KLASSISK VIT BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LB17015	Y	MG	JKP		MG-JKP-260317-1756128-0		0	55	273500916307166796		
716495	30	323107	UTL282	192129	"Målarnes Färg AB"	44	200919918	"TÄCKFÄRG DEMIDEKK INFINITY KLASSISK VIT BAS 9L"	0	"2026-03-17 06:38:05"	OrderGenerator	3	5	LB12026	Y	MG	JKP		MG-JKP-260317-1756154-0		0	55	273500916307164952		
716517	30	305698	UTL218/UTL219/UTL220/UTL221/UTL222	192283	"Happy Homes Borås AB"	44	200919918	"TÄCKFÄRG DEMIDEKK INFINITY KLASSISK VIT BAS 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LB07026	Y	MG	JKP		MG-JKP-260317-1756793-0		0	55	273500916307165171		
